100 5000
-40 88 -2
-36 -71 -77
57 -45 100
-68 36 -36
-56 81 42
-69 88 68
30 63 45
-58 80 -25
27 -32 -92
-9 40 13
-45 -38 -98
87 86 80
79 16 33
93 19 22
-23 94 -84
-14 -47 -53
-27 -33 70
-47 53 20
82 1 88
92 29 -10
-59 -55 -40
69 -14 36
-60 15 -78
-58 48 24
8 -20 -31
-48 -48 81
-21 94 98
79 -56 93
4 -73 -37
-76 62 56
-86 -96 54
-64 60 -17
77 -41 41
-33 -12 -53
96 -58 -90
-14 -48 -82
-47 74 84
48 -27 93
-2 91 -30
26 21 76
-8 -20 -14
-78 -67 31
-72 -86 -24
-19 71 37
-1 86 74
27 -8 -11
5 42 89
-9 1 -86
90 -36 5
7 35 -49
49 -18 40
-100 83 -10
11 15 57
57 67 3
24 -81 17
-45 35 -24
56 35 22
23 3 -19
-81 -58 92
10 67 99
22 -85 10
-86 -70 -97
42 -7 98
69 42 -60
14 10 -71
72 24 53
76 -56 -99
-30 47 -66
-47 30 -72
-74 -23 97
6 79 -64
43 -24 70
90 -44 -76
-50 30 -75
61 -24 -32
64 -34 92
-65 30 10
-40 -65 -3
-60 16 -50
16 -22 -7
72 -6 29
-32 32 17
-35 -65 34
-29 59 42
6 44 96
-32 -69 20
77 -44 -3
-31 -21 78
-50 30 -31
-66 96 -48
-35 -47 -57
53 -58 66
-47 -1 67
-25 5 -15
3 82 94
-67 -40 -1
42 -69 -3
-53 -66 -34
46 72 -58
-20 -1 61
-31 44 -27
27 25 28
-40 100 5
-98 47 21
-86 -23 -67
96 -63 32
-22 -4 47
-21 59 -36
15 68 -52
-82 67 -66
75 9 -83
-60 20 14
34 73 -80
-73 -93 57
27 75 -93
-92 89 72
-87 -28 4
34 -88 -73
-50 70 -39
43 88 30
27 -18 -47
-63 34 35
79 62 28
-54 -95 24
-6 92 -6
85 54 -28
-71 -7 -14
52 -100 -40
-74 -4 -14
54 57 -74
28 30 -81
3 -63 -54
92 -17 -6
99 -25 65
-45 60 -23
-33 68 9
-39 -49 43
98 -16 77
44 -4 84
-66 65 66
-40 50 -86
85 -58 56
92 77 -48
-78 -70 11
-5 -39 -26
98 -64 -12
96 21 -90
86 -87 -71
35 -73 86
-30 -22 -35
40 18 -25
-23 -100 -37
46 -90 38
24 39 -41
88 -95 -24
43 -43 -37
-93 92 -7
47 -56 43
91 30 85
78 100 -1
-23 11 41
-20 -38 11
100 21 -48
38 -36 50
26 -25 48
50 34 63
85 72 -46
96 -92 -74
-69 60 58
38 57 -4
-55 -6 52
-29 91 56
-41 92 69
-91 41 35
21 -11 61
-18 53 9
-17 -47 -8
87 59 35
-13 66 97
-40 75 -77
-72 64 -12
-99 -38 37
-100 37 -39
56 -52 26
-45 70 -69
-59 57 77
29 47 88
38 -46 -69
-49 18 60
-68 15 -6
75 11 -2
99 21 -84
-58 94 2
-49 -8 -62
-98 81 -41
-10 -27 85
-70 33 56
80 -95 -59
54 24 -47
88 27 -24
98 29 -37
-41 -83 -63
71 -91 70
-22 -97 -63
-11 -18 -73
97 -47 48
-30 -44 -1
2 49 39
17 2 -86
66 -63 -53
31 -92 18
59 -92 -8
-95 17 -87
-80 -59 4
95 -54 -26
-87 36 87
88 -2 -36
-52 -4 21
-11 -32 87
-90 -53 -19
96 76 96
-73 58 7
-36 -70 21
64 -71 34
91 2 49
39 30 58
94 40 58
-95 -34 87
80 -15 3
-8 87 81
-78 -29 62
-39 96 -41
-24 37 -76
13 -5 14
26 47 -37
-17 52 23
71 83 26
-97 28 34
-78 -60 36
91 -57 34
-39 -11 37
-83 36 -73
-50 -13 82
-84 -90 -35
52 -32 -75
-97 18 28
-58 78 100
58 37 -66
66 -39 64
39 87 -82
-90 35 20
-63 -76 -2
-77 -66 -45
16 -94 -5
51 68 30
-59 90 -83
-41 7 -77
-17 -94 -36
-40 26 -6
-7 -54 -25
70 -6 59
-62 9 -55
-2 -37 100
15 -43 76
52 -32 -51
62 53 69
67 89 -29
47 82 -5
-92 -97 3
-19 31 -29
-3 -6 -57
87 82 40
10 -74 -56
-52 -32 -95
60 -6 -26
-54 -93 -71
-16 -63 64
28 57 -87
99 62 57
-73 -40 -27
55 -71 -89
53 42 23
64 13 -61
35 94 69
-18 -42 96
42 7 -64
-27 -29 34
-31 -37 60
-1 93 -74
-57 70 88
20 -38 57
-82 10 -15
23 -30 -56
50 3 91
-16 -49 -6
59 28 79
-76 -95 26
99 -7 78
77 -7 -44
-67 89 31
27 -4 -98
75 -91 16
68 32 81
24 100 23
11 -77 28
76 -61 -38
9 9 -22
20 45 -84
-100 -99 -49
48 -88 -10
-72 2 31
100 -62 -94
-86 96 14
-6 11 -59
-27 -52 81
-91 -89 -56
-15 75 -84
19 -35 5
86 42 11
24 -23 45
73 -6 -26
-84 -97 16
92 27 -25
6 64 8
63 99 -58
44 9 -80
-8 78 -5
88 2 100
-16 30 41
58 41 -37
57 87 94
37 -2 49
-4 46 -71
87 -79 -25
15 -67 -29
-100 -78 -96
-14 -78 -49
-51 88 32
-3 27 -23
62 -45 9
-61 -90 -24
-80 -15 -65
21 91 55
-36 -65 -79
32 45 93
-6 -13 -12
61 22 -58
28 -42 68
35 -60 72
66 41 -91
-63 -31 -42
-28 -75 27
-28 -36 42
79 1 -14
-56 89 37
-91 98 -88
59 43 27
80 -53 51
75 33 -79
88 -83 -76
-58 42 -73
-62 -77 51
-37 -6 48
-100 81 -91
16 -58 -3
6 51 31
29 -22 -9
-94 17 17
2 -41 95
-88 25 -91
58 80 -41
-53 82 51
-67 -18 -17
10 24 25
-52 42 -82
46 -7 87
29 41 -70
35 61 5
-22 -79 59
-12 -13 40
-30 10 48
6 92 -28
34 49 76
92 -24 55
-81 39 35
-97 29 76
-85 -64 60
66 100 68
6 -71 26
6 -75 32
-90 36 -99
13 7 87
-80 -30 2
68 57 77
-17 -74 78
-69 34 -15
51 74 12
1 -38 -30
-13 -66 -34
56 -54 30
27 -70 95
27 87 33
-3 -83 2
93 5 23
80 27 -34
79 79 75
22 -38 -67
-53 24 -25
-53 97 60
-15 -75 99
3 -43 2
94 65 -29
-46 74 96
-74 45 26
-61 84 18
-50 -21 21
-78 -70 -26
30 91 6
94 37 61
10 21 -17
-6 -22 -47
-16 -99 -89
-29 -48 93
-8 28 33
-32 -72 20
33 9 -52
-72 66 -39
56 22 7
64 -85 12
9 86 8
-28 61 -47
-23 -31 13
9 36 81
96 17 -53
85 -86 -78
13 -37 54
-67 -70 -75
-24 81 61
-52 -48 99
94 -45 88
-29 -24 -49
-55 83 39
-66 86 -84
-39 -80 48
88 97 -44
-99 -3 -63
-23 -80 -40
24 15 40
-79 -53 -24
-63 -54 -25
-52 20 28
61 83 -91
-3 96 -71
19 87 -16
-45 -13 57
55 -9 -39
73 -36 -72
-63 -92 -87
-1 -12 50
88 -54 41
-67 -54 -41
-82 45 25
-15 94 61
-88 69 -66
-14 60 5
-31 -6 77
-57 -83 76
38 -11 48
92 -55 -88
7 -80 -91
76 -66 68
93 86 75
-36 -65 78
63 -4 -5
-82 -67 81
7 -61 -58
-20 -78 38
-96 -68 -86
-42 -68 -58
96 -44 60
83 22 83
-58 -90 -25
91 -42 23
-6 100 73
36 -58 7
16 60 81
80 -5 -95
-82 -59 7
10 -96 -60
-41 -49 37
31 -15 -22
98 -20 -84
-50 33 -77
-13 94 81
21 -38 73
39 -22 96
-12 62 85
87 27 -23
54 62 -75
-100 -35 80
-2 6 92
-53 -21 -51
24 14 -88
-89 -91 37
46 72 -89
12 61 -97
75 -1 20
82 1 60
-86 -73 -66
-21 15 100
-46 28 74
34 -28 13
92 26 89
51 -23 18
72 -41 1
45 100 -72
-38 -25 -82
-12 92 9
-85 8 24
-16 98 8
-17 82 -72
-7 -4 -52
-43 -59 78
-92 -47 -41
13 -8 -70
-85 44 20
-15 -28 71
-65 -16 -7
69 -69 -70
5 5 39
5 -45 -92
83 -48 -18
40 63 -38
-86 -16 -10
-78 57 -69
-6 44 -32
3 23 -49
-16 -41 -45
74 97 -45
-58 71 -18
96 74 35
-88 97 63
9 -11 -12
93 -66 -14
-37 -38 45
57 71 -4
-63 -41 100
-65 63 91
43 -66 52
71 46 18
47 30 33
-2 8 -47
8 85 69
63 -49 -15
-61 27 27
-53 -96 53
25 11 79
-22 64 -81
96 44 78
-21 -54 40
100 -100 72
61 18 33
96 -43 -20
20 -15 -47
91 -99 25
-32 15 92
-17 51 19
65 -96 -22
-52 -65 -81
47 7 -86
19 80 -46
4 -75 -22
-23 -64 71
25 5 58
85 76 -71
93 -61 -88
-28 70 21
-31 -27 10
-47 -72 62
-48 78 98
-21 -86 99
-71 -36 32
-82 55 -44
57 38 -63
-19 52 -6
-9 -55 97
-74 4 96
-68 -86 -95
88 7 -60
10 95 -23
-17 84 -78
-13 25 64
-23 -84 -18
5 -76 6
43 -55 -40
-30 60 46
-18 -44 -35
-65 16 -79
-36 25 -81
31 76 90
-64 48 22
-89 58 30
-62 63 -55
21 -38 72
-86 -13 -69
-93 -63 -13
-37 72 17
23 57 -21
21 -92 70
-24 -58 31
70 -13 55
96 -58 60
56 51 35
75 -2 70
79 -90 -69
25 -29 -86
63 -72 20
-95 -26 -47
-25 90 81
52 23 14
71 98 -7
46 -24 -24
83 -83 -61
57 -45 -77
87 -89 6
99 -18 -95
4 72 44
73 -65 -9
10 -20 -35
78 67 -59
-95 46 -80
-56 24 98
-30 -99 60
-52 -11 86
-59 -88 -95
-65 -40 78
-97 7 -58
-42 59 21
34 -61 64
-75 18 -36
50 34 -82
-54 -48 37
-89 90 -55
83 -67 -69
-48 -89 51
42 -5 -49
44 -38 44
-72 43 -67
-93 97 -52
99 34 -64
68 -96 -24
22 -17 -34
80 -71 72
61 55 87
-4 -9 -19
17 -33 -31
12 -37 46
-52 -11 -44
53 -1 -84
94 27 -91
35 92 98
91 73 41
-100 -31 -62
96 -11 26
-2 -14 -20
-71 91 50
12 -16 -49
78 5 81
30 -48 -58
63 12 27
-52 -17 -44
55 -58 -94
-74 46 30
40 90 -35
35 74 42
-23 26 51
25 16 -99
-2 -93 76
18 31 13
86 -84 76
-36 -55 -76
-83 71 -78
60 -36 59
56 97 74
48 22 -20
-95 -13 -59
54 34 9
5 21 63
-8 -12 21
56 12 -84
-43 63 60
79 88 -78
-38 35 85
90 -63 98
91 -6 14
-53 -93 53
-45 -83 -30
-32 3 -81
5 15 -59
44 -23 -11
92 38 -12
60 -49 -20
43 -83 -58
-24 -53 -21
57 -40 63
-39 -78 -72
48 87 -16
67 28 -1
14 57 -31
22 -58 -86
-53 -72 27
-47 -45 -98
100 -32 -4
89 -26 -49
-18 82 97
27 85 72
-43 56 -71
54 -92 76
-91 75 79
-87 10 -36
53 57 -62
34 54 11
-91 60 18
91 62 -46
-97 -56 30
33 17 -31
-86 56 31
-20 -57 -1
43 94 10
11 -58 -37
-29 19 -48
72 8 -10
-16 -24 -36
76 54 -45
92 36 13
-92 86 64
-8 98 16
12 7 76
-95 65 -94
33 -32 57
41 -15 -38
64 37 88
-36 94 -14
-29 73 67
25 16 98
34 -96 1
50 32 2
-51 92 46
-5 -79 46
7 45 64
36 -29 59
-68 31 15
84 -11 35
-82 56 2
-98 31 -28
94 -90 77
75 -31 -54
-82 27 64
-28 -80 -43
25 -16 32
82 60 -78
-6 82 -40
43 -89 -89
3 54 -50
-96 -96 100
94 25 -57
90 10 -16
89 -78 90
83 91 97
81 -69 -58
-50 -15 73
-82 56 61
8 35 -61
91 71 89
82 76 -48
46 -67 -36
24 -76 16
52 67 93
68 86 -36
-26 -63 -39
99 23 -87
12 -20 -85
-4 24 25
-44 -36 -61
32 57 -84
-28 -65 39
-45 -96 -92
-59 -74 68
81 62 -78
-81 57 -28
-95 -71 77
-13 -54 67
8 27 -92
24 16 -59
37 82 -92
62 50 -90
-68 89 -16
-55 -22 -65
88 -8 -24
9 57 42
50 -20 18
53 69 87
-16 -59 -89
10 -38 76
96 50 -77
76 -28 5
71 -46 32
62 27 -49
-25 -73 -49
-38 -8 -3
89 72 68
2 -39 -68
18 -97 -100
32 -60 -39
-56 20 -74
22 -9 -14
-49 8 -28
53 80 21
38 52 60
-89 -69 -25
30 -72 -19
25 23 2
-6 -45 30
-23 92 -51
-49 41 42
-47 -32 57
94 -29 -3
-60 -26 96
21 75 84
-7 -29 95
-75 25 28
-58 34 47
62 -98 70
94 -56 31
60 -58 -94
16 43 -86
96 47 17
30 -75 -97
-22 -74 -22
-57 39 2
-23 94 11
-93 -36 15
53 -66 -15
-77 -28 82
44 -47 -94
26 2 -58
88 -98 -58
42 -52 -18
98 -45 19
92 96 -72
4 97 65
-100 -41 -77
16 -74 48
-46 -45 93
-21 -77 46
-11 55 77
-37 70 91
-43 -77 -12
70 88 58
-53 -18 -58
6 3 4
-100 -26 -73
92 46 69
-9 -53 -34
10 85 -51
-92 -12 15
68 -69 -10
55 -70 61
-33 48 50
52 -100 -16
30 -40 16
8 88 -87
46 -33 -39
87 -48 19
100 21 80
-94 -35 70
-53 33 35
-93 -8 89
-59 -7 -86
-64 37 -57
-24 -78 6
-37 -44 -99
57 -56 -18
18 -37 90
-40 -4 -27
32 -33 -39
78 -11 -12
-43 7 -36
41 -42 15
-8 65 -22
-29 -35 -36
-68 -73 -54
11 -27 7
-96 -11 37
100 -28 24
77 69 -28
32 -4 31
95 62 -50
80 -30 -46
-26 -93 79
-13 19 96
-74 26 67
-68 -62 -47
92 -48 -17
-5 73 20
64 -45 -93
-16 -46 -44
-93 -92 -94
31 -78 -54
99 -18 50
-54 -84 -8
82 -24 -59
-62 -40 92
-62 24 -36
-99 30 93
63 -71 -44
-41 -37 99
-66 -2 -26
-26 -29 -94
3 19 -76
-94 -85 3
99 -67 -42
61 28 -89
85 81 27
-39 87 92
34 91 -69
-32 97 65
75 87 -18
-46 -16 84
-74 37 82
-53 68 -43
-52 -20 81
-82 41 47
-91 24 -63
57 27 -50
68 51 62
-21 3 76
-86 64 95
67 27 -13
52 -69 -73
96 -62 89
-55 10 66
11 -7 26
-70 66 42
-18 68 23
47 -31 12
-57 -82 -17
56 93 -63
-52 19 32
-73 27 -87
42 -100 78
65 -47 25
30 -32 20
-22 68 74
30 -14 66
51 -8 81
-44 -26 -8
-15 -52 21
31 -7 83
32 -6 -47
47 -70 -17
-80 34 -57
78 25 -67
-100 -51 32
34 -18 27
-72 37 16
37 -5 7
95 2 -16
31 30 75
-86 63 -62
-57 48 -39
7 32 -12
19 43 30
94 -55 7
59 -15 26
-58 9 12
-60 -78 81
-60 -45 -89
49 -4 -67
-85 5 79
-22 73 36
34 87 -66
65 -17 -42
-52 -25 41
34 64 72
88 -30 73
-100 100 85
60 50 31
44 -73 87
47 -1 14
20 -16 85
58 72 -68
-98 -87 -38
21 -14 78
-47 58 5
-100 -55 21
-23 18 3
-29 20 79
-100 -31 -81
-5 57 52
1 -14 -96
-92 -47 18
-23 67 -88
-54 92 -74
97 6 -36
48 -57 -19
-1 72 -80
87 7 73
8 72 45
-55 -75 -14
91 -61 -4
-94 66 -30
95 92 25
-52 -73 89
98 34 63
4 42 88
-30 -89 -39
32 -86 10
43 -52 39
63 18 -17
-5 48 15
-53 94 87
18 -41 -5
-82 93 20
-85 -49 67
36 48 60
45 -54 26
-43 -73 42
16 32 -14
31 92 37
94 -63 -77
-72 62 -16
73 79 -27
20 93 44
59 42 -8
13 96 63
9 -7 85
1 57 -38
-36 -59 -45
10 -73 -32
97 22 -4
40 56 22
10 16 -14
-57 -59 15
52 -6 -49
-11 -66 76
-41 -65 62
62 -86 -49
-66 -30 -15
-99 75 -94
35 38 -17
79 -64 29
89 -24 81
-86 -70 -39
-11 87 85
51 14 72
12 -70 -74
11 19 -60
-82 -83 -38
-28 8 57
-58 -68 12
-36 27 -44
-67 9 53
-36 -91 47
70 68 96
34 -2 -20
93 -98 4
-99 17 40
69 18 -66
11 47 34
-32 -23 59
-29 36 1
30 -100 97
3 61 -8
65 61 -66
-65 -57 -63
-47 -60 2
-32 46 78
-25 2 -4
-66 -72 51
70 -78 16
61 87 77
45 3 36
-38 88 89
-19 -44 -46
8 91 -50
-63 82 -48
44 12 69
7 4 83
-23 -30 22
16 -28 -71
89 -64 22
-39 40 -99
77 58 -22
71 -94 -69
-35 -26 41
63 -67 -50
-31 32 -17
29 95 13
92 -22 49
16 -48 97
49 -77 -32
54 33 36
75 -85 16
51 -86 -29
-76 40 -94
-59 -68 -50
3 30 -76
-78 84 88
54 -37 99
26 -76 -17
48 -87 75
55 10 -11
-27 -97 -94
30 -34 24
-44 -60 30
68 -81 -62
-15 88 96
-60 -72 100
49 50 64
60 37 -71
-43 -40 -56
32 36 51
92 3 41
-21 -55 -20
57 -94 89
2 -87 -22
-8 61 -44
24 12 55
33 -15 28
45 71 19
-45 -73 78
16 1 -71
-39 90 -23
-17 -32 -50
1 -39 57
96 -15 31
86 89 -94
21 -60 82
-48 -84 -2
-2 -50 -16
-22 -68 -50
48 -68 -68
-89 -23 -90
95 13 55
-5 -42 -49
-4 -81 -90
-50 21 -66
-38 -15 -41
55 70 18
-34 64 80
30 -83 51
-80 14 75
69 -73 -61
28 -17 -70
-19 81 -40
-31 -30 -14
-55 -9 -87
-21 52 45
-11 3 -56
-92 -72 37
17 -15 -63
20 -70 20
10 32 -5
29 37 -45
-85 -4 -41
-40 95 89
3 -44 -81
-59 -54 53
-38 12 47
-37 30 89
-78 -51 79
-72 -73 4
27 -6 -20
-33 -99 -29
72 -58 76
20 72 77
48 93 -17
-96 33 37
-90 -60 -25
-62 -61 68
-11 -59 -59
63 75 3
-39 -59 -85
-17 -48 -69
-83 -95 93
-3 -27 97
-81 34 76
50 -95 87
21 24 82
-69 -51 -20
46 50 -59
51 89 -32
43 86 47
-17 -68 -34
90 -71 -7
29 -47 93
79 -93 -24
-51 56 27
67 -1 77
85 -27 73
64 36 86
1 -53 11
80 -100 10
27 8 19
100 39 63
-73 -2 -92
89 -59 86
5 62 -62
-4 68 5
44 30 -51
34 -30 11
22 18 56
53 93 99
76 -35 80
-88 24 57
-54 20 -65
25 56 76
-99 75 -4
-90 -6 -78
89 42 48
-39 -4 40
-16 97 -16
-95 -99 54
40 -41 81
72 -76 -74
-97 27 -90
80 -22 76
-50 45 34
95 91 88
-60 9 -33
-86 92 -7
6 93 22
100 73 48
-43 -31 -47
-58 -31 43
67 2 -99
-98 -55 -92
10 25 29
29 -45 60
